id,brand,title,description,price,pricecurrency,spectablecontent,cluster_id
59075657,,DJI Zenmuse X7 Camera and Gimbal without Lens,,3109.00,USD,,715306.0
69611430,,ZOTAC GAMING GeForce GTX 1660Ti Twin Fan,ZOTAC GAMING GeForce GTX 1660Ti Twin Fan,298.75,EUR,,3492668.0
52019173,Park Tool,Park Tool HXS-1.2 Hex Set,"8-pc set: 2,2.5,3,4,5,6,8,10mm (PK-4213 includes bench/wall-mount)Shop-quality L-shaped full metal hex wrench setMade from Bondhus Protanium high torque steelBondhus balldriver long-end for 25 degree ",$23.95,USD,,429017.0
77308213,ASUS,ASUS PRIME X570-PRO (AM4) (D) (90MB11B0-M0EAY0),,87700,,,2848082.0
68725256,,Canon PGI29LGY Light Grey Ink (Pro One Series),"The specially formulated LUCIA PGI-29 Ink produces professional quality photo prints and superior longevity, perfect for displaying your printed works of art. Canon's proprietary FINE (Full Photolitho",45.95,AUD,,1545110.0
71116679,,Pokemon Sword & Shield Rebel Clash Elite Trainer Box,"SWSH Rebel Clash Elite Trainer Box including Sleeves, Dividers and a Storage Box all featuring designs of The sets Mascot Pokemon. Included also are a set of dice, 8 SWSH Rebel Clash Booster Packs, an",3.5E1,GBP,,4481177.0
88874092,Lacie,Dd lacie portatil /5tb externo /thunderbolt /usb c,,6898.15,MXN,,3073980.0
79589897,,Sandisk 32GB Extreme Pro 160 MBs Compact Flash,"Get high-capacity storage, faster shot-to-shot performance, and cinema-quality video with the SanDisk Extreme PRO CompactFlash Memory Card.",59.00,GBP,,2973998.0
94511792,,CORSAIR 2x16GB DDR4 3200Mhz CL16 Vengeance LPX RAM (CMK32GX4M2B3200C16) (Limited Lifetime Warranty with Convergent),Warranty : LTD LifeTime with Local Distributor - Convergent,263.00,SGD,,505112.0
23084884,,HDD WD Red Mobile 1TB (WD10JFCX),,81.29,EUR,,1524442.0
45256979,,HYPERX 8GB 1600MHZ DDR3 DIMM BLACK,,,,,1012076.0
37915790,,Ram Mount Tough-Claw with 1 Rubber Ball - L,Ram Mount Medium Tough-Claw with 1 Rubber BallThe RAM® Tough-Claw™ is the perfect mounting base for quick and easy tool-less installation and removal on round and square bars and rails. The Tough-Claw,5.699E1,GBP,,219025.0
53570958,Ubiquiti,UniFi AC Mesh Pro AP -5 Pack (ROW Version),"(UAP-AC-M-PRO-5 Pack ROW Version) The UniFi AC Mesh Pro AP provides simultaneous, dual-band, 3x3 MIMO technology and is available in single- and five-packs. The enclosure of the UniFi AC Mesh Pro AP i",975,USD,,4275566.0
97288853,,Cap New Era NFL Green Bay Packers 9Fifty Cap,,3.99E1,EUR,,57151063.0
37084990,,Zebra 6 Panel YMCKOK Color Ribbon With Cleaning Roller - 170 prints (800015-448),"Prints Per Roll:170 printsCompatible with: Zebra P420i, P430i and P520i",121.60,SGD,,515358.0
30869320,GoPro,GoPro Dual Battery Charger + Battery for HERO4,"This is a USB charger that holds two batteries, and will charge them simultaneously. It is designed to draw USB bus power from most USB power sources, including USB wall adapters, computers, the GoPro",4.02E1,EUR,,2020118.0
9390933,,LaCie Rugged USB-C 2TB,,,EUR,,1241636.0
88569688,SHIMANO AMERICAN CORP.,"SHIMANO AMERICAN CORP. PEDAL, NON-SERIES(00) PD-M324 W/O REFLECTOR W/CLEAT IND.PACK",Combines the power of Shimano's SPD® and the convenience of a platform pedal. Cleats included. Sold as pair.Weight: 530 g.,69.99,USD,,545529.0
77008042,,Samsung 860 PRO 1TB SSD,"SATA 3.0, 2.5'',V-NAND MLC, up to 560/530MB/s read/write,2MTBF",1861.00,DKK,,158919.0
33701626,,APC Replacement Battery Cartridge 110,,53.90,EUR,,1157842.0
47336087,,MON LED 27 Samsung C27F390FHU,,161.26,,,709380.0
89973207,,Cisco Catalyst WS-C2960X-24TD-L network switch Managed L2 Gigabit Ethernet (10/100/1000) Black,"Cisco Catalyst WS-C2960X-24TD-L, Managed, L2, Gigabit Ethernet (10/100/1000), Full duplex, Rack mounting",0.0,EUR,,758825.0
51672417,,Johnnie Walker Red Label 700ml,"Whiskey blended combining sweet single malts from the Highlands region in Scotland with stronger malts from the Islands region. The malts are aged for 3-5 years, and their combination provides the Red",41.0,SGD,,17572.0
25282467,Park Tool,Park Tool AWS-3 Hex,"2, 2.5 & 3mm",$11.49,USD,,6129732.0
66814149,,Sigma 35mm f1.4 DG HSM Art Lens (Canon EF Fit),"EF-Mount Lens/Full-Frame FormatAperture Range: f/1.4 to f/16One FLD Element, Four SLD ElementsTwo Aspherical ElementsFloating Elements SystemSuper Multi-Layer CoatingHyper Sonic AF Motor, Manual Overr",524,GBP,,704991.0
35165067,,海盗船 Carbide 175R RGB ATX Tempered Glass Case. Two Years Warranty,,149.00,AUD,,643961.0
73823909,,UBIQUITI UAP-AC-HD-5 5pk,"Build your Wi-Fi network with the UniFi® HD Access Point, part of the Ubiquiti Networks® UniFi Enterprise Wi-Fi System. The UAP-AC-HD, is an indoor/outdoor, high-performance, 802.11AC Wave 2 dual-band",1964.95,CAD,,980563.0
50657212,,Remo Ambassador Coated 14in Drum Head,"The Coated Ambassador heads are medium-weight heads made with a coated single-ply 10-mil Mylar film to produce a warm open, bright, and resonant sound with a warm attack. Coated Ambassador heads are t",17.99,GBP,,2711403.0
19301010,,Logitech Portable HD Webcam C525,"Clear, crisp and smooth HDvideos Make high-definition videocalls Crisp, colourful andcontrasted images Smooth video quality at 30frames per second A portable, fold-and-godesign LogitechPortable HD Web",129.00,AUD,,329534.0
69912633,Corsair,"CORSAIR Crystal Series 680X RGB High Airflow Tempered Glass ATX Smart Case, White","E-ATX (and Below), 7+2 Expansion Slots, Tempered Glass, Watercooling Support, GPU up to 330mm, CPU up to 180mm, 1 x USB Type-C, 2 x USB 3.0",230.89,GBP,,28019.0
66760494,,SRAM XX1 Eagle 10-50T XG1299 12sp Cassette Gold,"Say goodbye to your mountain bike front derailleur and hello to your your new bike bling, the new X-DOME Eagle cassette from SRAM.",549.99,AUD,,202915.0
62662513,MSI,MSI Radeon RX 570 ARMOR 8G OC,"Grafická karta 8GB GDDR5 (7000MHz), AMD GCN 4.0 (Polaris 20), Boost 1268 MHz, PCI Express x16 3.0, 256Bit, DisplayPort, DVI-D a HDMI",4399,CZK,,1582959.0
64714684,,Ubiquiti UniFi Protect 4K IP Video Camera CCTV IP67 Optical Zoom - UVC-G4-PRO (No PoE Injector),"Capture every last detail in stunning 4K resolution with the Ubiquiti UniFi Protect G4-PRO camera. The G4-PRO is Ubiquiti's most powerful camera to date, featuring a large 1/2 image sensor, 3X powered",480.00,GBP,,788533.0
70894718,,CARTO DE MEMRIA CLASSE 10 KINGSTON SDCS/64GB MICRO SDXC 64GB 80R/10W UHS-I U1 CANVAS SELECT,,,,,53163.0
61115102,,Magnetic Micro USB Charging Cable,Buy Magnetic Micro USB Charging Cable at smartphoneaccessories.store! Free shipping to 185 countries. 45 days money back guarantee.,9.99,USD,,76667549.0
46652889,,"RAM® Double Socket Arm (Long 6\"")","The RAM-B-201U-C consists of a long double socket arm that accommodates 1\"" B size ball bases, device holders, and adapters. With an overall length 6\"", this is the longest B size RAM® double socket a",21.49,USD,,1366684.0
75128379,Nikon,Nikon AF-S 24-85mm f/3.5-4.5G ED VR Lens,Highly versatile wide angle to medium telephoto FX-format zoom lens with Nikon's second-generation Vibration Reduction (VR II) technology for noticeably sharper photos and HD videos.,799,AUD,,21809.0
94414976,,Epson A2 Premium Lustre Photo Paper (25 Sheets),"A2 (420x594mm) (16.5x23.375in), 251gsm, White Glossy",38.99,GBP,,3929531.0
48049039,,Blackmagic: ATEM 1 M/E Production Studio 4K,"Create stunning multi camera live production with the world's most advanced production switchers!ATEM switches between SD, HD or Ultra HD video standards so you can connect a wide range of video sourc",2192.82000000,GBP,,588397.0
73810179,,"Ubiquiti US-24-500W UniFi Switch 24 500W 24V,802.3af/at PoE","Build and expand your network with Ubiquiti Networks‰ۢÌÛ_í´í«ÌÎ̢ UniFi‰ۢÌÛ_í´í«ÌÎ̢ Switch, part of the UniFi line of products. The UniFi Switch is a fully managed, PoE+ Gigabit switch, delivering robu",5.2449E2,USD,,1242806.0
95960852,,Mixer video Blackmagic ATEM 1 M/E Production Studio 4K Video Switcher,"The advanced ATEM 1 M/E Production Studio 4K model switches between SD, HD or Ultra HD video standards so you can connect a wide range of video sources such as cameras, disk recorders and computers. F",2125,EUR,,588397.0
52323484,Kingston,256GB Kingston USB 3.0 Datatraveller 100,DataTraveler 100 G3 256GB,34.79,,,1090670.0
97563189,,PC1031 10 Speed Chain with Powerlock,"Accurate shifting, excellent wear resistance, and superior durability. The SRAM PowerChain II wont let you down.10-speed SRAM and Shimano compatible chain Flush rivet improves strength and provides a ",14.99,GBP,,784271.0
55665914,Jabra,Jabra Evolve 75 UC Stereo Headset 7599-838-109,Jabra 7599-838-109 Ev 75 Uc,282,AUD,,220402.0
60305865,,29X2.30 DHR II 3C/TR/DD MAXX TERRA FOLDABLE,,124.99,NZD,,102488.0
92299108,,Nikon 24-85mm f/3.5-4.5G ED AF-S VR Nikkor Lens,"The Nikon 24-85mm f/3.5-4.5G ED AF-S VR Nikkor Lens is an advanced and versatile FX-format standard zoom with VR II image stabilization. Covering a versatile wide angle to medium telephoto zoom range,",496.95,USD,,21809.0
7083119,,Manfrotto 500 Fluid Video Head With Flat Base for tripod,,129.00,,,72631.0
38017439,,Intel Core i5-10500(6cores/16threads),"	6 coresIntel's ""Comet Lake-S"" 10th Gen	12 MB smart cache	! Requires motherboard with LGA 1200 socket	Boxed version of the processor with CPU cooler!",11450,MUR,,1706093.0
58326251,,Desktop Switch TP-Link SG1005P LAN PoE Grey,"If you're passionate about IT and electronics, like being up to date on technology and don't miss even the slightest details, buyDesktop Switch TP-Link SG1005P LAN PoE Grey at an unbeatable price.Colo",6.38E1,EUR,,1502431.0
79613309,,Brother ink LC-225XLY giallo 1200PP x MFC-J5320DW MFC-J5620DW MFC-J5720DW MFC-J4620DW,LC225XLY CART.INK. GIALLO MFCJ4620,15.57,EUR,,390224.0
59928566,,"ASUS TUF X570-PLUS GAMING Motherboard , AMD X570 Ryzen Gen 3","MD AM4 Socket: Ready for 2nd and 3rd Gen AMD Ryzen™ processors Enhanced Power Solution: 12+2 Dr. MOS power stages, 6-layer PCB, ProCool sockets, military-grade TUF components, and Digi+ VRM for maximu",112.35,OMR,,617064.0
55982328,,Rebel Clash Elite Trainer Box,None,39.99,USD,,4481177.0
75223780,,ASUS GRAPHICS CARD DUAL GTX 1660S EVO 6GB DDR6 2X HDMI 1X DVI-D 1 X DISPLAY PORT 2 X FAN MAX DISPLAY SUPPORT:4 500W 3 YEAR CARRY IN WARRANTY,,,,,964313.0
60679295,,Apple Carrying Case for Apple Airpods 53.5 Mm Height X 44.3 Mm Width X 21.3 MR8U2ZM/A,"With the Wireless Charging Case, charging is as simple as placing your AirPods in the case and laying it on a Qi-compatible charging mat. The LED indicator on the front of the case lets you know that ",70.93,GBP,,929799.0
28927993,,Gigabyte GTX 1660 Super Gaming OC 6GB PCI-Express x16 (GV-N16SGaming OC-8GD) (Warranty 3years with Local Distributor CDL),Warranty : 3 Years with Local Distributor - CDL,413.00,SGD,,423875.0
18854966,,Repetidor Wi-Fi Tp-Link Inalambrico Wa860re 802.11,,27.5,EUR,,1322604.0
95251640,Shimano,Shimano Pedal ULTEGRA PD-R8000,Lightweight carbon composite pedal bodyExtra wide footprint for more efficient power transmissionWear-resistant and torsion-resistant pedals due to heavy-duty stainless steel pedal body insertAdjustab,162.95,EUR,,155622.0
95041002,Shimano,Ultegra R8000 Carbon SPD-SL Road Pedals,"##Shimano Ultegra R8000 Carbon SPD-SL Road PedalsThe point of engagement and the connection between you and your bike, your pedals are key in forging your performance. With the Shimano Ultegra R8000 C",119,GBP,,155622.0
64607522,Manfrotto,Manfrotto MVH500AH Lightweight Video Head with Flat Base,The Manfrotto MVH500AH is a lightweight head with a wider platform for HDSLR bodies which has a sliding plate which travels to balance the latest interchangeable lens cameras.,115,GBP,,72631.0
62422382,Daniel Wellington,Daniel Wellington Classic Sheffield Men 40mm Quartz Watch 0206DW,Free Gift&nbsp;Daniel Wellington Classic SheffieldModel 0206DWTechnical DataCase Size: 40mmWater Resistance: 30mCrown Type: Pull / PushMovement Type: QuartzBand Length: 203 mmMaterialCrystal Type: Scr,119,USD,,5135259.0
12407223,SRAM,SRAM Sram Eagle XX1 XG-1299 12-Speed Cassette,,449.00,USD,,202915.0
67371758,Cooler Master,Cooler Master MM710 Gaming Mouse Matte Black,Cooler Master MM710 Gaming Mouse Matte Black available to buy online from PC Case Gear – Australia’s Premier Online PC Store.,69,AUD,,3027370.0
30429353,,Kingston SD 32GB Class 10,Kingston SD 32GB Class 10 Memorije kartice,16.56,BAM,,1980656.0
47444077,,Sony SEL2470Z VarioTessar T FE 2470mm f4 ZA OSS Telephoto Lens,"This compact, multi purpose 24 70mm zoom lens bring renowned Carl Zeiss resolution and contrast to a range of shooting situations from studies of the natural world to portraits and",,GBP,,1579130.0
66191134,Epson,Epson oryginalny tusz T2982 29 cyan,Oryginalny tusz EPSONT29824 T29 cyan (niebieski).Pasuje do drukarek EPSON:Epson Expression Home XP-235EPSON Expression Home XP-245EPSON Expression Home XP-247Epson Expression Home XP-255Epson Expressi,53.28,PLN,,217603.0
84071723,Ubiquiti,Ubiquiti UniFi AC In-Wall Access Point 5 Pack,Ubiquiti UniFi AC In-Wall Access Point 5 Pack available to buy online from PC Case Gear – Australia’s Premier Online PC Store.,739,AUD,,1610496.0
23373474,,Gigabyte Nvidia GeForce GTX 1660 OC 6GB Double Fan Graphics Card,Powered by GeForce GTX 1660Integrated with 6GB GDDR5 192-bit Memory InterfaceWINDFORCE 2X Cooling System with Alternate Spinning Fans90mm Unique Blade FansProtective Back Plate,268.00,GBP,,708641.0
18755950,,Kingston 8GB DDR3 1600MHz HyperX Fury Black Series,"DDR3, 8GB, 1600MHz, CL10",16990,HUF,,1012076.0
77398411,Park Tool,CC-3.2 chain wear indicator,A worn chain shifts poorly and significantly accelerates wear on sprockets and chainrings. The Park Tool CC-3.2 chain wear indicator helps you to see easily when it's time to replace the chain. It mea,11.95,EUR,,1566090.0
52672692,Gigabyte,"GIGABYTE VGA AMD Radeon RX 5500 XT OC 8G, 8GB GDDR6, 1xHDMI, 3xDP",Radeon RX 5500 XT OC 8G FeaturesPowered by AMD Radeon™ RX 5500 XT Integrated with 8GB GDDR6 128-bit memory interface WINDFORCE 2X Cooling System with alternate spinning fans Protection Back Plate PCI-,220,EUR,,686147.0
41132356,GoPro,GoPro Dual Battery Charger & Battery for HERO5/6/7 and HERO 2018,Never get stranded without power! Use the GoPro HERO5/6/7 Black Dual Battery and Charger to conveniently charge two GoPro HERO5/6/7 batteries simultaneously.,1095.00,ZAR,,206359.0
70981106,SanDisk,SanDisk Extreme Pro CF 128GB,Designed for professional videographers and photographers. Optimized for 4K video capture. Transfer speeds of up to 160MB/s. Shot speeds up to 150MB/s. VPG-65 for sustained video recording speeds of 6,255.00,SGD,,1369273.0
60447783,,Seagate IronWolf PRO 6TB NAS Professional,"3.5"", SATA 6.0Gb/s, 7200RPM, 256MB cache, Agile Array",1844.58,DKK,,84984.0
77595897,SanDisk,SanDisk Extreme microSD Card 64GB,"DESCRIPTIONWithout the SD Memory Card, you will be missing out on the great shots you can capture. Capture more photos, record more HD videos and play more music on your mobile phone with reliable San",21.0,GBP,,25535.0
25511984,Apple,APPLE AIRPODS GENERATION 2 with Charging Case MV7N2AM/A,"Apple AirPods Generation 2 with Charging Case MV7N2AM/A. 57.JPG\"" alt=\""\""> 57.JPG\"" alt=\""\""> Apple AirPods Generation 2 with Charging Case MV7N2AM/A Apple, MV7N2AM/A GRADE A Fully Functional Seller ",129.00,USD,,1223297.0
45001854,,Ubiquiti UniFi Mesh AP OUT AC1750 5 PACK,,6829.03,RON,,4275566.0
92996051,,Intel 1151 Core i7-8700K3700 1151V2 BOX3.700 MHz 6,,392.20,EUR,,1808651.0
56234120,,"Crucial 4GB DDR3 1600MT, s SODIMM",Part number: 96913Manufacturer product ID: CT51264BF160BUPC Code: UPC649528754240Box quantity: 20*Sub-category: RAM ModuleManufacturer: CrucialWeight (Kg): 0.20Warranty period: 60 Months204-pin SODIMM,1026.00,MUR,,2397859.0
90718213,,100cm Cat Scratching Tree - Grey,Cat Scratch Tree 1M Grey Your ever active cat needs a place to let it be itself. And the Cat Scratch Tree is just the perfect thing to cater to your feline friend's natural instincts.Designed with ste,1.3695E2,AUD,,498095.0
24268406,,UniFi AP ac HD ROW 5Pk,,1679.00,USD,,980563.0
6798938,,HDD extern Lacie 4TB Mobile Drive USB 3.1-C Silver,,,,,267024.0
64383564,Corsair,Carbide Series 100R Mid-Tower,,54.99,USD,,1164384.0
73092958,,Lente Canon EF-S 55-250mm f/4-5.6 IS STM,,0.00,MXN,,414134.0
69711479,,Bose® SoundLink® around-ear wireless headphones II,Wireless Bluetooth Headphones (Black),229.00,USD,,1762586.0
50944416,,Corsair Vengeance LPX CMK8GX4M1A2666C16 8GB (1x8GB) 2666Mhz DDR4,"Corsair Vengeance LPX 8GB (1x8GB), PC4-21300 (2666MHz) DDR4, 16-18-18-35, 1.2v, Single Stick",59.00,AUD,,155934.0
18246146,,"Jabra Evolve 75 Bluetooth Headset Bundle | Bonus Wall Charger & USB Dongle | Microsoft Certified Version | Compatible with PC/MAC, Softphones, Smartphones, Tablet, Skype, Cisco, Avaya | 7599-832-109","DetailsHide DetailsShow DetailsDescriptionCustomer ReviewsProfessional ReviewsEssential AccessoriesCustomers Also ViewedJABRA BUNDLE OF 3 ITEMS: Jabra Bluetooth Microsoft Certified Headset, Bluetooth ",,USD,,70278.0
59382677,GIGABYTE,GIGABYTE GeForce GTX 1660 OC 6G,"Grafická karta 6GB GDDR5 (8002MHz), NVIDIA Turing (TU116, 1530 MHz), Boost 1830 MHz, PCI Express x16 3.0, 192Bit, DisplayPort 1.4 a HDMI 2.0b",5899,CZK,,708641.0
40988189,,"3M - Privacy filter for LCD 23\"" -16:9 widescreen HD","3M Privacy filter for LCD 23\"" -16:9 widescreen HD (PF23.0W9) - Type: Skjermbeskyttelse",1292.50,NOK,,643044.0
51140258,GoPro,GoPro GoPro Dual Battery Charger + Battery for Hero 5/6,,49.99,USD,,206359.0
34081588,,Park Tool Hex Wrench Set,The Park Tool Fold-Up Hex Wrench Set combines all the popular hex wrench sizes into one convenient fold-up tool eliminating the need for a mess of loose tools. Its multi-position composite handle is c,9.00,USD,,250450.0
17553753,,"Crystal Series 680X RGB Tempered Glass, No PSU, E-ATX, White, Mid Tower Case",Crystal Series 680X RGB ATX High Airflow Tempered Glass Smart Case — WhiteThe CORSAIR Crystal Series 680X RGB is a dual-chamber tempered glass ATX smart case boasting superb airflow and brilliant RGB ,339.23,USD,,28019.0
31525711,KINGSTON,Memoire SDXC KINGSTON 64GB Canvas Select microSDHC (microSD) + Adapter SD,Memoire SDXC KINGSTON 64GB Canvas Select microSDHC (microSD) + Adapter SD,14.99,EUR,,53163.0
76169214,,32 GB DDR4 3200 MHz Corsair Vengeance LPX CL16 Black kit (2x16 GB),,6.2549999999953E4,HUF,,505112.0
67780963,,"Life Extension, PalmettoGuard® Saw Palmetto/Nettle Root Formula with Beta-Sitosterol | 60 softgels",,21.00,USD,,1124051.0
53079510,,Hannspree 27'' led wide fullhd 1920x1080 5ms multimediale VGA/DVI/HDMI nero,Monitor - Hannspree - HL274HPB -,125.41,EUR,,423640.0
75447718,Corsair,Corsair 8GB Vengeance LPX DDR4 2400MHz CL14 Siyah Ram,,,,,289153.0
75133459,Corsair,Corsair Carbide 275R Mid Tower ATX Case White TG CC-9011133-WW | PCByte,"Motherboard compatibility :Mini-ITX, MicroATX, ATXTempered glass window side panelExpansion slot : 7Storage slot :2x 3.5",135.0,AUD,,717069.0
73925902,,ASUS GeForce RTX 2060 DUAL EVO OC,"Grafikkort, PCI-Express 3.0, 1365/1755MHz, Turing",3099.00,DKK,,697270.0
48818759,,FUJINON XF50-140MM F/2.8 R LM OIS WR LENS FOR FUJIFILM COMPACT SYSTEM CAMERAS - BLACK,Compatible with Fujifilm compact system cameras; Triple Linear Motor; Nano-GI (Gradient Index) coating technology; optical image stabilization; weather-resistant,1599.99,USD,,1726262.0
78241304,Corsair,Corsair Carbide 275R White Glass Midi PC Gaming Case,"AYX (And Below), 7 Expansion Slots, GPU up to 370mm, CPU up to 170mm, Watercooling Support, Tempered Glass Side Panel, USB 3.0 x 2",84.38,GBP,,717069.0
54922099,Intel,Intel Core i9-9900 3.1GHz,,609.00,AUD,,248547.0
64773733,,Corsair H55 Hydro Series - 120 mm,Watercooling autonome - Socket AMD AM3(+) / AM2(+) / FM2(+) / FM1 et Intel 2066 / 2011(-V3) / 1366 / 1150 / 1155 / 1156,,,,1679067.0
34996246,FujiFilm,Fujifilm XF 50mm F2 R WR Black Lens,Fujifilm XF 50mm F2 R WR Black Lens,695,AUD,,1057779.0
98547332,Epson,Epson Tusz T7033 MAGENTA L do serii WorkForce WP4000/4500 (0.8k),Epson Tusz T7033 MAGENTA L do serii WorkForce WP4000/4500 (0.8k),0,,,224488.0
44870108,,HyperX 8GB DDR3 1600MHz Fury Black CL10,DIMM FURY BLACK SERIES,51.54,EUR,,1012076.0
52440335,,Gigabyte Gtx1660 Ti 6gb Gddr6 Version Oc Gv-n166toc-6gd,,8804.4,MXN,,1640388.0
97873950,Kingston,Kingston DataTraveler 100 G3 - 256 GB,DataTraveler 100 G3 256GB,49.99,EUR,,1090670.0
21249557,,i.Pet 124cm Cat Scratching Post - Grey,"It is absolutely feline wonderland with our cat tree! Built to satisfy the natural instincts of your precious pet, our Cat Tree include a hosts of nooks and crannies for Tom and Tabby to have hours of",101.53,AUD,,380523.0
38674629,,ASUS GeForce GTX 1660 SUPER DUAL EVO 6GB OC Graphics Card,"GTX 1660 SUPER, 6GB GDDR6, 0dB Technology, Dual Fan Cooling",216.99,GBP,,964313.0
93246129,,APC (SMT1500RMI2UC) APC Smart-UPS 1500VA LCD RM 2U 230V W/ SMART CONNECT,"Intelligent and efficient network power protection from entry level to scaleable runtime. Ideal UPS for servers, point-of-sale, routers, switches, hubs and other ...",1600.8,AUD,,367217.0
69120468,,SanDisk Ultra USB 3.064GB SDCZ48-064G-U46,"SanDisk Ultra USB 3.0 / 3.1 Gen. 1&amp;nbsp;Flash Drive The SanDisk Ultra USB 3.0 Flash Drive combines faster data speeds and generous capacity in a compact, stylish package. Spend less time waiting a",103.00,HRK,,598906.0
77427895,,Seagate IronWolf Pro 6 To,"Disque dur 3.5"" - 7200 tpm - 256 Mo - SATA III - Bulk",224.99,EUR,,84984.0
38083813,,CORSAIR 570x RGB Mirro Black Tempered Glass CC-9011126-WW,"The CORSAIR Crystal Series 570X RGB Mirror Black is a premium mid-tower PC case enclosed in four panels of immaculate mirrored tempered glass, putting every component of your build on display.",357,AUD,,61981.0
9937440,,Memória RAM Kingston_ValueRAM DDR3 HyperX 1600MHZ HX316C10FB/8,DDR3 HyperX 8GB 1600MHz CL10 FURY Black Series,37.64,EUR,,1012076.0
